item_id,target_word,ambiguity_band,n_wordnet_synsets,zipf_frequency,prompt_P1,prompt_P2,prompt_P3,prompt_P4,prompt_P5,P2_implied_sense,P4_contrast_word,note
E1_001,bank,high,18,5.16,Describe bank in a few sentences.,She walked along the edge of the field where the willows grew thickest and the current ran fastest. The bank had eroded significantly after last winter's floods.,She walked along the water's edge where the willows grew thickest and the current ran fastest. The riverbank had eroded significantly after last winter's floods.,"Describe bank, making sure to distinguish it from river.",Give a dictionary definition of bank.,riverbank (geographical landform),river,financial institution / riverbank / to tilt / depository — classic polysemy
E1_002,crane,high,6,3.92,Describe crane in a few sentences.,"The workers arrived early to the site, and the enormous machine was already in operation, its long arm swinging cables and steel beams across the half-finished frame.","The workers arrived early to the construction site, and the enormous machine was already in operation, its arm swinging steel beams across the half-finished structure.","Describe crane, making sure to distinguish it from heavy machinery.",Give a dictionary definition of crane.,construction crane (machine),heavy machinery,construction machine / wading bird / to stretch neck — common polysemy
E1_003,spring,high,11,4.92,Describe spring in a few sentences.,"After months of bare branches and frozen ground, the morning air smelled different and the birds had begun to sing again.","After months of bare branches and frozen ground, the April air smelled different and the nesting birds had returned.","Describe spring, making sure to distinguish it from winter.",Give a dictionary definition of spring.,the season spring,winter,season / coiled mechanism / water source / to jump — highly polysemous
E1_004,pitch,high,22,4.43,Describe pitch in a few sentences.,"The musician paused, adjusted the instrument, and played the note again — this time it sat exactly where the conductor wanted it.",The musician adjusted the tuning and played the note again — this time its musical frequency sat exactly where the conductor wanted it.,"Describe pitch, making sure to distinguish it from music.",Give a dictionary definition of pitch.,musical pitch (frequency of a note),music,musical pitch / sales pitch / playing field / tar / gradient
E1_005,bat,high,10,4.3,Describe bat in a few sentences.,"At dusk, they emerged from the old barn eaves in dozens, navigating through the dark by sound rather than sight.","At dusk, the nocturnal mammals emerged from the old barn eaves in dozens, navigating through the dark by echolocation.","Describe bat, making sure to distinguish it from any animal.",Give a dictionary definition of bat.,"bat (flying mammal, Chiroptera)",any animal,flying mammal / cricket bat / baseball bat / to hit
E1_006,fair,high,17,4.99,Describe fair in a few sentences.,"The town had waited all year for it: the rides, the livestock competitions, the smell of fried food, and the long rows of handmade goods on display.","The town had waited all year for the annual fair: the rides, the livestock competitions, the fried food, and the rows of craft stalls.","Describe fair, making sure to distinguish it from a public event.",Give a dictionary definition of fair.,"fair (outdoor public event, funfair)",a public event,just/equitable / outdoor event / light complexion / satisfactory
E1_007,plant,high,10,4.89,Describe plant in a few sentences.,"The complex employed twelve hundred workers across three shifts, running the heavy machinery continuously around the clock.","The industrial complex employed twelve hundred workers across three shifts, running the factory machinery continuously around the clock.","Describe plant, making sure to distinguish it from a factory.",Give a dictionary definition of plant.,industrial plant (manufacturing facility),a factory,botanical organism / industrial facility / to place/insert / spy
E1_008,match,high,19,5.13,Describe match in a few sentences.,"The two teams had trained for months for this moment, and the stadium was full two hours before the referee's whistle.","The two teams had trained for months for the football match, and the stadium was packed two hours before the referee's whistle.","Describe match, making sure to distinguish it from a sporting event.",Give a dictionary definition of match.,sporting match (contest),a sporting event,sporting contest / fire-starting stick / correspondence/fit / marriage
E1_009,bark,high,9,3.85,Describe bark in a few sentences.,"The forester ran her hand along the outside of the trunk, reading its texture and color for signs of disease or old age.","The forester ran her hand along the outer layer of the tree trunk, reading its texture and color for signs of fungal disease.","Describe bark, making sure to distinguish it from a tree.",Give a dictionary definition of bark.,bark (outer covering of tree trunk),a tree,tree surface / dog sound / type of sailing vessel
E1_010,draft,high,14,4.61,Describe draft in a few sentences.,The writer had filled three notebooks with crossed-out lines and marginal notes before the structure of the argument finally became clear.,"The writer had filled three notebooks revising the manuscript, crossing out lines and adding marginal notes, before the argument finally held.","Describe draft, making sure to distinguish it from a written document.",Give a dictionary definition of draft.,draft (early version of a written text),a written document,written document early version / air current / military conscription / draught beer
E1_011,cell,medium,7,4.87,Describe cell in a few sentences.,"The researcher looked through the lens and watched as the membrane began to divide, the nucleus pulling apart into two equal halves.","The biologist looked through the microscope lens and watched as the cell membrane began to divide, the nucleus separating into two halves.","Describe cell, making sure to distinguish it from a biological organism.",Give a dictionary definition of cell.,biological cell,a biological organism,biological cell / prison cell / mobile phone cell / battery cell
E1_012,chapter,medium,5,4.65,Describe chapter in a few sentences.,"The members gathered every third Tuesday in the lodge hall, reviewed old business, and voted on the budget for the coming quarter.","The members of the local chapter gathered every third Tuesday, reviewed old business, and voted on the organization's quarterly budget.","Describe chapter, making sure to distinguish it from an organization.",Give a dictionary definition of chapter.,chapter (branch of an organization),an organization,section of a book / branch of an organization / historical period
E1_013,case,medium,22,5.55,Describe case in a few sentences.,"The attorneys had spent six months gathering depositions, and the judge had scheduled the main hearing for early spring.","The attorneys had spent six months in discovery, and the judge had scheduled the court hearing for early spring.","Describe case, making sure to distinguish it from a legal proceeding.",Give a dictionary definition of case.,legal case,a legal proceeding,legal case / container / medical case / grammatical case
E1_014,seal,medium,15,4.3,Describe seal in a few sentences.,"The colony gathered on the rocky outcrop at low tide, the young ones barking noisily as the adults returned from deeper water.","The marine mammals gathered on the rocky outcrop at low tide, the pups barking as the adults returned from their Arctic fishing grounds.","Describe seal, making sure to distinguish it from any animal.",Give a dictionary definition of seal.,seal (pinniped marine mammal),any animal,pinniped marine mammal / wax/official seal / Navy SEAL
E1_015,plate,medium,16,4.55,Describe plate in a few sentences.,The geologist pointed to the fault line on the map and explained how pressure had been building for decades along the boundary.,The geologist pointed to the tectonic fault line on the map and explained how crustal pressure had been building for decades along the plate boundary.,"Describe plate, making sure to distinguish it from a dish.",Give a dictionary definition of plate.,tectonic plate,a dish,dish / tectonic plate / license plate / printing plate / to coat with metal
E1_016,lead,medium,31,5.2,Describe lead in a few sentences.,"They had to take precautions when renovating — the pipes dated from the nineteen-twenties, and the paint on the walls was even older.","They had to take precautions when renovating the Victorian house — the water pipes were original, and the paint contained the toxic heavy metal.","Describe lead, making sure to distinguish it from a metal.",Give a dictionary definition of lead.,"lead (the heavy metal element, Pb)",a metal,heavy metal Pb / to guide/direct / theatrical lead role / dog lead
E1_017,pupil,medium,3,3.81,Describe pupil in a few sentences.,"The ophthalmologist shone the light directly at it and watched carefully for the response, checking whether both sides reacted symmetrically.","The ophthalmologist shone the light at the eye and watched for the pupillary response, checking whether both pupils reacted symmetrically.","Describe pupil, making sure to distinguish it from part of the eye.",Give a dictionary definition of pupil.,pupil (aperture in the iris of the eye),part of the eye,aperture in the iris / student/learner
E1_018,scale,medium,18,4.83,Describe scale in a few sentences.,"The musician practiced the ascending and descending patterns every morning, running through all twelve before moving on to repertoire.","The pianist practiced all twelve musical scales every morning, running through both ascending and descending patterns before touching the repertoire.","Describe scale, making sure to distinguish it from music.",Give a dictionary definition of scale.,musical scale (ordered sequence of notes),music,musical scale / weighing instrument / fish/reptile scale / to climb
E1_019,crown,medium,16,4.56,Describe crown in a few sentences.,The dentist took an impression of the tooth and explained that the procedure would require two appointments and a temporary fitting.,"The dentist took an impression and explained that fitting the dental crown would require two appointments, including a temporary placement.","Describe crown, making sure to distinguish it from a tooth.",Give a dictionary definition of crown.,dental crown (tooth restoration),a tooth,dental crown / monarch's headwear / top of head / crown of a tree
E1_020,file,medium,9,4.75,Describe file in a few sentences.,"The craftsman worked methodically along the edge, removing tiny amounts of material with each stroke to achieve exactly the right fit.","The metalworker used the hand tool methodically along the edge, removing tiny filings with each stroke to achieve exactly the right fit.","Describe file, making sure to distinguish it from a hand tool.",Give a dictionary definition of file.,file (abrasive hand tool),a hand tool,abrasive hand tool / document / computer file / to file legally
E1_021,umbrella,near_monosemous,4,3.89,Describe umbrella in a few sentences.,"She opened it quickly as the first drops began to fall, and walked briskly between the bus stop and the building entrance.","She opened the rain canopy quickly as the first drops began to fall, and walked briskly to the office entrance.","Describe umbrella, making sure to distinguish it from weather protection.",Give a dictionary definition of umbrella.,umbrella (portable rain shield),weather protection,"portable rain shield (dominant) / organizational umbrella term (metaphorical, secondary)"
E1_022,mercury,near_monosemous,4,4.02,Describe mercury in a few sentences.,The old thermometer had been recalled because of the danger of the silver liquid inside escaping if the glass broke.,The old clinical thermometer had been recalled — the toxic silver liquid element inside posed a contamination risk if the glass broke.,"Describe mercury, making sure to distinguish it from a chemical element.",Give a dictionary definition of mercury.,"mercury (liquid metal element, Hg)",a chemical element,liquid metal Hg (dominant) / planet Mercury / Roman god Mercury
E1_023,bronze,near_monosemous,6,4.2,Describe bronze in a few sentences.,"The sculptor had spent three months on the casting, and when the mould was broken open the figure stood exactly as she had modelled it in clay.","The sculptor had spent three months on the lost-wax casting, and when the bronze mould was broken open the metal figure stood perfectly.","Describe bronze, making sure to distinguish it from a metal.",Give a dictionary definition of bronze.,bronze (copper-tin alloy used in casting),a metal,copper-tin alloy (dominant) / bronze medal (secondary derivative) / to get a tan (informal)
E1_024,amber,near_monosemous,3,3.97,Describe amber in a few sentences.,The paleontologist held the specimen up to the light — the insect inside had been preserved perfectly for forty million years.,The paleontologist held the fossilized resin up to the light — the trapped insect had been preserved perfectly for forty million years.,"Describe amber, making sure to distinguish it from a fossil material.",Give a dictionary definition of amber.,amber (fossilized tree resin),a fossil material,"fossilized resin (dominant) / amber color / traffic amber (secondary, derivative)"
E1_025,slate,near_monosemous,7,3.82,Describe slate in a few sentences.,"The roofer worked along the ridge, replacing the cracked ones carefully so that the rain would not find its way through before winter.","The roofer worked along the ridge, replacing each cracked grey roofing tile so that the rain could not penetrate before winter.","Describe slate, making sure to distinguish it from a roofing material.",Give a dictionary definition of slate.,slate (fine-grained grey rock used in roofing),a roofing material,roofing rock (dominant) / political electoral slate (secondary) / blank-slate idiom
E1_026,mortar,near_monosemous,4,3.75,Describe mortar in a few sentences.,"The bricklayer spread it evenly between each course of bricks, pressing the layers together firmly and wiping the excess from the face.","The bricklayer spread the binding compound between each course of bricks, pressing the masonry together and wiping the excess clean.","Describe mortar, making sure to distinguish it from a building material.",Give a dictionary definition of mortar.,mortar (binding material in masonry),a building material,masonry binding material (dominant) / pestle-and-mortar bowl (secondary) / artillery mortar (secondary)
E1_027,jade,near_monosemous,7,3.78,Describe jade in a few sentences.,"The carver had worked the block for three months, following the natural grain, shaping the pendant to be worn at the Lunar New Year.","The craftsman had worked the block of precious stone for three months, following its natural grain, carving the pendant for the New Year ceremony.","Describe jade, making sure to distinguish it from a mineral or gemstone.",Give a dictionary definition of jade.,jade (nephrite/jadeite gemstone),a mineral or gemstone,nephrite/jadeite stone (dominant) / jade green color / to exhaust/bore (archaic verb)
E1_028,marrow,near_monosemous,5,3.53,Describe marrow in a few sentences.,The transplant required finding a compatible donor — someone whose stem cells were close enough in type to rebuild the patient's immune system.,The bone marrow transplant required finding a compatible donor whose stem cells were close enough in type to rebuild the patient's immune system.,"Describe marrow, making sure to distinguish it from bone tissue.",Give a dictionary definition of marrow.,bone marrow (soft tissue inside bones),bone tissue,"bone marrow (dominant) / vegetable marrow (British: large squash, secondary)"
E1_029,sterling,near_monosemous,2,4.13,Describe sterling in a few sentences.,The hallmark on the back confirmed its purity — it had been assayed and certified to the standard that had been in use since the thirteenth century.,The hallmark on the back confirmed the silver content — it had been assayed and certified to the sterling standard in use since the thirteenth century.,"Describe sterling, making sure to distinguish it from silver.",Give a dictionary definition of sterling.,sterling silver (standard silver alloy),silver,"sterling silver standard (dominant) / excellent-quality adjective (secondary, derivative)"
E1_030,mast,near_monosemous,4,3.52,Describe mast in a few sentences.,"The riggers climbed before dawn to check the lines, making sure the rigging was sound before the vessel left harbor with the tide.","The sailors climbed the sailing mast before dawn to check the rigging, making sure all lines were sound before the ship left harbor.","Describe mast, making sure to distinguish it from a sailing vessel.",Give a dictionary definition of mast.,mast (vertical spar on a sailing vessel),a sailing vessel,sailing vessel mast (dominant) / telecommunications/TV transmission mast (secondary)
